asic_id,flowcell_id,centre_name,pore_type,run_type,experiment_accession,run_accession,submitted_ftp,submitted_ascp
FAB42451,4239353418,Notts,R9.4,Ligation,ERX2240858,ERR2184691,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42451-4239353418-Notts-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42451-4239353418-Notts-R9.4-Ligation.tar.gz
FAF15665,16056159,Notts,R9.4,Ultra,ERX2240859,ERR2184692,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF15665-16056159-Notts-R9.4-Ultra.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF15665-16056159-Notts-R9.4-Ultra.tar.gz
FAF09701,4249180049,Bham,R9.4,Ultra,ERX2240860,ERR2184693,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF09701-4249180049-Bham-R9.4-Ultra.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF09701-4249180049-Bham-R9.4-Ultra.tar.gz
FAF15586,82266371,Bham,R9.4,Ultra,ERX2240861,ERR2184694,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF15586-82266371-Bham-R9.4-Ultra.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF15586-82266371-Bham-R9.4-Ultra.tar.gz
FAB45277,86567043,Notts,R9.4,Ligation,ERX2240862,ERR2184695,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB45277-86567043-Notts-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB45277-86567043-Notts-R9.4-Ligation.tar.gz
FAB49914,3775529215,Notts,R9.4,Ligation,ERX2240863,ERR2184696,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB49914-3775529215-Notts-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB49914-3775529215-Notts-R9.4-Ligation.tar.gz
FAB45332,551111640,UBC,R9.4,Ligation,ERX2240864,ERR2184697,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB45332-551111640-UBC-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB45332-551111640-UBC-R9.4-Ligation.tar.gz
FAB42798,3306352129,Norwich,R9.4,Ligation,ERX2240865,ERR2184698,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42798-3306352129-Norwich-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42798-3306352129-Norwich-R9.4-Ligation.tar.gz
FAF10039,2901545329,Bham,R9.4,Ultra,ERX2240866,ERR2184699,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF10039-2901545329-Bham-R9.4-Ultra.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF10039-2901545329-Bham-R9.4-Ultra.tar.gz
FAB39088,288418386,Notts,R9.4,Ligation,ERX2240867,ERR2184700,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB39088-288418386-Notts-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB39088-288418386-Notts-R9.4-Ligation.tar.gz
FAB45271,152889212,Notts,R9.4,Ligation,ERX2240868,ERR2184701,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB45271-152889212-Notts-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB45271-152889212-Notts-R9.4-Ligation.tar.gz
FAB46664,288286712,UBC,R9.4,Ligation,ERX2240869,ERR2184702,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB46664-288286712-UBC-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB46664-288286712-UBC-R9.4-Ligation.tar.gz
FAB43577,3574887596,UCSC,R9.4,Ligation,ERX2240870,ERR2184703,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB43577-3574887596-UCSC-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB43577-3574887596-UCSC-R9.4-Ligation.tar.gz
FAF01253,83756522,Bham,R9.4,Ligation,ERX2240871,ERR2184704,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF01253-83756522-Bham-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF01253-83756522-Bham-R9.4-Ligation.tar.gz
FAB42561,356443753,Notts,R9.4,Ligation,ERX2240872,ERR2184705,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42561-356443753-Notts-R9.4-Ligation.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAB42561-356443753-Notts-R9.4-Ligation.tar.gz
FAF04090,3842965088,Bham,R9.4,Rapid,ERX2240873,ERR2184706,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF04090-3842965088-Bham-R9.4-Rapid.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF04090-3842965088-Bham-R9.4-Rapid.tar.gz
FAF09277,3709819546,Bham,R9.4,Ultra,ERX2240874,ERR2184707,ftp.sra.ebi.ac.uk/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF09277-3709819546-Bham-R9.4-Ultra.tar.gz,/vol1/ERA112/ERA1123314/oxfordnanopore_native/FAF09277-3709819546-Bham-R9.4-Ultra.tar.gz
